"","name"
"433","HuntingtonUniversity"
"434","WakeForestUniversity"
"435","EasternMennoniteUniversity"
"436","AlvernoCollege"
"437","TreveccaNazareneUniversity"
"438","PacificUnionCollege"
"439","UticaCollege"
"440","BaylorUniversity"
"441","UniversityofRioGrande"
"442","CedarCrestCollege"
"443","StThomasUniversity"
"444","MarshallBKetchumUniversity"
"445","PeirceCollege"
"446","WallaWallaUniversity"
"447","RobertsWesleyanCollege"
"448","CollegeofSaintElizabeth"
"449","SpartanburgMethodistCollege"
"450","GrandViewUniversity"
"451","FitchburgStateUniversity"
"452","FayettevilleStateUniversity"
"453","RegisCollege"
"454","SyracuseUniversity"
"455","DefianceCollege"
"456","DeltaCollege"
"457","PacificNorthwestCollegeofArt"
"458","HussonUniversity"
"459","RamapoCollegeofNewJersey"
"460","NorthernMichiganUniversity"
"461","ThomasCollege"
"462","MetropolitanCollegeofNewYork"
"463","SpaldingUniversity"
"464","KalamazooValleyCommunityCollege"
"465","MountIdaCollege"
"466","WesternUniversityofHealthSciences"
"467","HolyNamesUniversity"
"468","KeukaCollege"
"469","ChaminadeUniversityofHonolulu"
"470","BowdoinCollege"
"471","SpringArborUniversity"
"472","PacificLutheranTheologicalSeminary"
"473","OlivetCollege"
"474","HesstonCollege"
"475","BostonArchitecturalCollege"
"476","BereaCollege"
"477","FloridaMemorialUniversity"
"478","NewEnglandCollege"
"479","DenverSeminary"
"480","NortheastStateCommunityCollege"
"481","TrinityUniversity"
"482","KeystoneCollege"
"483","SoutheasternUniversity"
"484","CollegeofStJoseph"
"485","UniversityofKentucky"
"486","CentenaryCollege"
"487","LakelandCommunityCollege"
"488","TexasCollege"
"489","LaboureCollege"
"490","GeorgiaPerimeterCollege"
"491","SouthernVirginiaUniversity"
"492","MiddleburyCollege"
"493","SaintLouisUniversity"
"494","PrincetonTheologicalSeminary"
"495","UniversityofTulsa"
"496","BaylorCollegeofMedicine"
"497","VassarCollege"
